,Longitude,Latitude
Bayview,-122.3925,37.7288889
Bernal Heights,-122.4142136,37.7410008
Castro,-84.1137544,9.6904124
Chinatown,4.9009395,52.3752067
Crocker Amazon,-122.4385868,37.7093777
Glen Park,-122.4344696,37.734281
Civic Center,-122.4167938,37.7795939
Excelsior,-122.4353815,37.7217943
Financial District,-122.3989378,37.7936467
Golden Gate Park,-122.4821837,37.7693681
Haight Ashbury,-122.446982,37.770028
Inner Richmond,0.0,0.0
Inner Sunset,-122.4676432,37.76145
Lakeshore,-122.5023554,37.7329254
Marina,-97.9217649,24.0142891
Mission,-122.3948366,37.7765434
Mission Bay,-122.3911712,37.7707742
Nob Hill,-122.415249,37.7932622
Noe Valley,-122.4320814,37.7515906
North Beach,-122.4090021,37.8011749
Ocean View,-122.457483,37.7136512
Outer Mission,-122.4199359,37.7452716
Outer Richmond,0.0,0.0
Outer Sunset,0.0,0.0
Pacific Heights,-122.4356445,37.7927171
Parkside,-122.483982,37.7383637
Potrero Hill,-122.3991374,37.7565834
Presidio,-122.4645889,37.7987456
Presidio Heights,-122.4530266,37.7887511
Russian Hill,-122.4170942,37.8000729
Seacliff,-122.4869164,37.7885406
South of Market,-122.3956802,37.7868314
Treasure Island YBI,0.0,0.0
Twin Peaks,-122.44648,37.75464
Visitacion Valley,-122.4097128,37.7121319
West of Twin Peaks,0.0,0.0
Western Addition,-122.4298104,37.779559
